DistrictID,DistrictNm,RegionID,RegionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyCode,PartyNm,CalculationType,CalculationValue
1,Albert Park,6,Southern Metropolitan,1,5,5,TOSCANO,Joseph,IND,Independent,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,1,5,5,TOSCANO,Joseph,IND,Independent,Transfer Count,-282
1,Albert Park,6,Southern Metropolitan,1,5,5,TOSCANO,Joseph,IND,Independent,Transfer Percent,-100
1,Albert Park,6,Southern Metropolitan,1,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Count,6677
1,Albert Park,6,Southern Metropolitan,1,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Percent,16.75
1,Albert Park,6,Southern Metropolitan,1,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Count,76
1,Albert Park,6,Southern Metropolitan,1,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Percent,26.95
1,Albert Park,6,Southern Metropolitan,1,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Count,17331
1,Albert Park,6,Southern Metropolitan,1,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Percent,43.48
1,Albert Park,6,Southern Metropolitan,1,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Count,44
1,Albert Park,6,Southern Metropolitan,1,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Percent,15.6
1,Albert Park,6,Southern Metropolitan,2,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Preference Count,1731
1,Albert Park,6,Southern Metropolitan,2,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Preference Percent,4.34
1,Albert Park,6,Southern Metropolitan,2,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Transfer Count,145
1,Albert Park,6,Southern Metropolitan,2,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Transfer Percent,22.27
1,Albert Park,6,Southern Metropolitan,2,2,2,BOND,Andrew,LIB,Liberal,Preference Count,12595
1,Albert Park,6,Southern Metropolitan,2,2,2,BOND,Andrew,LIB,Liberal,Preference Percent,31.6
1,Albert Park,6,Southern Metropolitan,2,2,2,BOND,Andrew,LIB,Liberal,Transfer Count,102
1,Albert Park,6,Southern Metropolitan,2,2,2,BOND,Andrew,LIB,Liberal,Transfer Percent,15.67
1,Albert Park,6,Southern Metropolitan,2,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Preference Count,1259
1,Albert Park,6,Southern Metropolitan,2,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Preference Percent,3.16
1,Albert Park,6,Southern Metropolitan,2,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Transfer Count,139
1,Albert Park,6,Southern Metropolitan,2,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Transfer Percent,21.35
1,Albert Park,6,Southern Metropolitan,2,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Preference Count,0
1,Albert Park,6,Southern Metropolitan,2,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,2,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Transfer Count,-651
1,Albert Park,6,Southern Metropolitan,2,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Transfer Percent,-100
1,Albert Park,6,Southern Metropolitan,2,5,5,TOSCANO,Joseph,IND,Independent,Preference Count,0
1,Albert Park,6,Southern Metropolitan,2,5,5,TOSCANO,Joseph,IND,Independent,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,2,5,5,TOSCANO,Joseph,IND,Independent,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,2,5,5,TOSCANO,Joseph,IND,Independent,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,2,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Count,6833
1,Albert Park,6,Southern Metropolitan,2,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Percent,17.14
1,Albert Park,6,Southern Metropolitan,2,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Count,156
1,Albert Park,6,Southern Metropolitan,2,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Percent,23.96
1,Albert Park,6,Southern Metropolitan,2,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Count,17440
