District,0-11 years,12-17 years,18-24 years,25-34 years,35-49 years,50-59 years,60-84 years,BachAbv,Diploma,Vocational,None,FullTime,PartTime,Unemployed,Owned,Mortgage,SocHousing,Renting,Agriculture,Mining,Transformative,Hospitality,Distributive,Digital,Finance,PMEdT,SocServ,EngOnly,OtherLang,Managers,Professionals,Technicians,Services,Admin,Sales,MachOp,Labourers,Swing2pp,Incumbent
Kingsley,15.27,7.72,7.84,10.84,20.19,13.88,24.27,23.87,11.57,23.11,41.46,55.01,38.39,6.6,40.27,45.72,0.67,13.34,0.52,3.56,18.94,5.2,16.99,4.72,5.65,20.87,23.56,88.87,11.13,11.68,24.02,15.79,10.79,16.7,9.72,4.21,7.09,-1.6,LaborGain
Kwinana,20.35,6.89,9.19,18.38,22.63,9.59,12.97,18.02,9.3,25.96,46.71,58.11,31.76,10.13,17.63,55.79,3.78,22.8,1.31,4.18,22.44,6.16,21.4,4.85,4.27,13.93,21.47,80.09,19.91,9.55,16.58,18.18,11.19,14.16,9.55,9.72,11.06,0.1,Labor
Landsdale,19.08,8.93,9.36,15.11,23.59,11.69,12.25,19.96,10.69,22.91,46.44,58.54,34.23,7.22,21.95,61.27,1.17,15.61,1.03,3.72,21.55,6,20.79,4.92,5.92,15.25,20.82,69.28,30.72,11.26,17.96,16.92,10.75,16.45,11.1,6.2,9.35,-1.7,Labor
Mandurah,15.71,7.11,8.44,12.51,17.6,11.96,26.66,11.66,8.88,27.67,51.78,51.76,35.84,12.4,28.21,38.03,5.9,27.86,0.8,7.47,21.2,8.16,19.74,4.78,3.31,12.91,21.64,91.5,8.5,8.38,13.93,19.76,13.59,11.72,10.64,9.87,12.11,6.8,Labor
Maylands,13.55,5.05,8.36,19.71,22.87,11.76,18.68,35.01,10.94,17.4,36.65,59.63,32.91,7.46,24.42,37.51,6.02,32.05,0.4,4.66,14.37,8.27,15.55,5.78,5.45,20.42,25.1,74.83,25.17,12.92,29.43,13.03,10.76,13.6,8.23,4.52,7.51,2.6,Labor
Midland,14.92,7.29,9.3,14.55,19.81,13.07,21.05,15.66,9.7,25.15,49.49,57.75,32.95,9.3,28.01,44.22,5.03,22.74,0.92,4.76,18.32,6.56,24.02,4.98,3.98,13.54,22.92,84.96,15.04,9.9,15.77,17.05,11.79,14.83,10.03,9.7,10.94,1.6,Labor
Mirrabooka,16.85,7.76,10.42,16.87,19.55,11.55,17.01,13.88,8.31,20.57,57.24,52.88,35.18,11.94,25.63,41.28,8.64,24.45,1.43,2.01,21.72,8.38,22.74,6.26,3.57,11.44,22.44,52.11,47.89,7.75,11.67,17.39,14.09,11.66,10.5,9.89,17.05,3.6,LaborRetiring
Moore,14.69,6.29,5.48,10.01,18.69,15.92,28.93,10.95,8.27,26.8,53.98,59.94,33.83,6.23,44.37,33.02,3.73,18.88,26.24,6.09,14.97,5.05,15.79,2.97,2.93,11.25,14.71,95.48,4.52,24,10.25,15.88,7.74,11.04,6.05,10.61,14.44,3.1,LibNat
Morley,13.62,6.13,9.01,18.23,19.59,11.72,21.68,24,10.77,19.58,45.65,56.35,35.06,8.59,35.16,35.57,3.35,25.92,0.5,2.73,18.46,8.29,19.83,5.48,5.17,16.59,22.93,61.84,38.16,10.13,20.04,16.35,11.59,14.91,10.19,6.25,10.54,-2.1,LaborGain
Mount Lawley,12.12,5.67,9.01,17.5,20.34,12.01,23.35,35.57,10.8,15.63,38,57.5,35.52,6.97,34.25,32.09,2.47,31.19,0.44,3.9,13.95,8.26,16.35,5.46,6.23,21.17,24.23,72.94,27.06,13.64,30.49,11.79,10.38,13.86,9.12,3.72,7,-3.5,LaborGain
