DivisionNm,2019,Margin,Age20_24,Age25_34,Age35_44,Age45_54,Age55_64,Age65plus,EnglishOnly,Indigenous,HighestEduc_Bach,HighestEduc_DipCert,HighestEduc_NoTertiary,HighestEduc_PGrad,CurrentlyStudying,Industry_Distributive,Industry_Extractive,Industry_Finance,Industry_InfoProf,Industry_SocialServ,Industry_Transformative,Married,Occup_Admin,Occup_Laborer,Occup_MachOp,Occup_Manager,Occup_Professional,Occup_Sales,Occup_Service,Occup_Tradesperson,Relig_Christian,Relig_Catholic,Relig_Other,Relig_None,Tenure_Mortgage,Tenure_Owned,Tenure_PublicHousing,Tenure_Renting,Unemployed
Chifley,0.3763,0.1237,7.351373894,15.28833233,13.74009545,12.37488995,10.1738798,10.82607386,55.10442392,3.97514017,13.16232969,24.71513009,47.84953957,4.675779652,32.95085955,24.44394082,1.254573244,4.755158158,5.791151625,18.90142721,17.07891441,47.30873723,15.52410758,13.16806628,14.88096924,6.972973467,14.10405783,9.121671727,10.68292102,12.89001698,27.54737964,30.68787359,27.31569436,14.44905241,38.34167416,21.56880913,10.6184528,36.3203017,9.193086511
Chisholm,0.5047,0.0047,9.538540861,13.7566956,12.28266163,12.96324941,10.50958151,18.23322162,51.25133227,0.171292716,23.23639836,19.76647781,36.70700592,12.53826604,34.39145255,18.08703601,0.916982471,5.210312989,13.75332248,24.57889543,11.56702369,50.5003572,13.79481703,6.637539504,2.838350876,14.24640644,31.30003593,10.26804202,9.497906982,9.701280005,25.18976827,17.71017731,23.20414769,33.89590673,28.79154873,39.49111885,1.865660524,28.28613658,8.349401621
Clark,0.3383,0.1617,7.465335336,14.14084287,12.41199758,13.19890009,12.81568735,17.340133,87.14586576,2.966242175,17.12584763,24.40030036,39.3495917,9.468358259,31.71597402,15.07030479,2.966244916,2.323168865,8.626891027,28.99978721,10.31857989,40.15954147,13.91248873,8.768796627,4.152135624,11.03980028,26.08711755,9.394829525,12.76807232,11.81894125,26.64644967,16.58638376,15.23587573,41.53129083,31.72363167,32.05027265,4.675199778,32.99788277,7.276510911
Cook,0.6902,0.1902,5.500771101,12.46515214,13.6188386,13.77602468,12.20119817,18.94537043,77.76027422,0.987603061,16.80841969,31.50918742,36.25873754,6.378892534,27.90497657,20.4014367,0.878632918,5.323218956,10.16062296,21.37289274,15.44453885,51.12352047,16.37697118,5.551768595,4.117035304,15.70682908,23.61617658,10.11382467,10.07634015,12.58985918,37.97229967,28.38765644,11.83566641,21.80437748,34.17397149,39.05140743,1.880136121,23.50765901,3.879501305
Cooper,0.2379,0.2621,7.684953335,19.33985887,15.69054665,13.1215245,9.344736757,14.06133134,60.79525465,0.72778121,21.1627634,20.01391973,37.02168732,11.96220541,31.63994667,15.96830809,1.172388742,4.159683358,12.420821,26.2145518,12.12404974,40.00897007,12.96386118,7.967991274,4.366629383,12.10187071,29.97095525,9.074195682,10.51611252,11.20760248,18.76882053,24.00312185,21.91278332,35.3152743,28.20844819,30.63661403,3.778054374,37.31370614,7.348545413
Corangamite,0.4898,0.0102,5.56522773,11.01750333,12.94957919,12.66082939,12.59628532,19.36322177,94.20848132,0.792363417,14.79240492,33.31369557,36.66302188,6.108574477,29.78029537,17.13722109,2.826803899,2.547279466,6.876852893,26.48753322,17.81880312,53.67843433,12.24233205,8.889121307,4.721579875,12.16594763,21.40292604,10.31756528,12.71007813,15.80606192,28.83591368,23.30380725,10.90030489,36.95997418,40.36642878,36.51892201,0.695288093,19.96439619,5.169951337
Corio,0.3968,0.1032,7.008020576,13.4847203,12.62716166,13.24444144,12.11073133,17.33865782,85.82820785,1.030830147,13.11787702,28.9508563,41.72579943,5.552081608,30.27445937,18.85514661,2.377313047,2.700274343,6.263000835,26.16250713,17.20308119,44.8872512,11.81933143,11.84168601,6.957800295,10.31711914,19.8843356,10.36832564,12.82607065,14.25375708,26.51392602,26.55859758,14.53044096,32.39703543,33.00465168,33.17266227,3.76663268,30.44865285,7.241717825
Cowan,0.4911,0.0089,6.847620351,16.26701786,13.43013842,12.98602084,11.51342045,14.3788055,63.51841001,1.741693462,13.01705363,27.89441699,45.4050401,4.240207627,30.1429842,18.52268896,4.443642611,2.350487305,6.718565473,21.31911901,17.22828776,46.93258139,13.78235215,12.28669884,7.637220769,9.10112206,16.36194376,10.1412774,11.81939834,16.93515935,25.50568972,26.25937835,23.29593396,24.93899797,40.36316245,30.69528043,4.291434491,25.90854664,9.229232515
Cowper,0.6188,0.1188,4.543225092,9.288930251,10.46671026,12.88263702,14.96277385,24.70382574,95.19129326,6.13288226,9.88014143,32.54259509,41.47166205,3.396762997,28.96219534,17.09454831,4.728490155,1.377720326,4.608350017,27.92345446,13.79347736,45.7397774,12.32306792,12.34718247,5.391816939,11.09738729,18.25038448,10.53999614,13.40851675,13.67290815,36.97021908,21.32454662,13.08637473,28.61885957,27.56879297,39.43316812,3.775497085,28.85603801,7.951582111
Cunningham,0.3659,0.1341,8.214554362,13.00814576,12.74326383,12.99721617,11.78853164,17.29254666,80.79832022,2.239923879,15.05440478,29.92693797,38.11674702,7.869642131,32.52132878,15.09275897,2.724744075,3.749411676,7.235418694,28.75707781,13.86528318,46.43132071,13.24414612,8.571304726,5.642719525,10.68544481,25.20496497,8.676065465,12.38763639,14.0354024,32.35931362,25.12327939,13.6523489,28.86505809,30.810671,34.88902297,6.603715712,30.77035981,7.533054307
